"","Cod_setor","age_sex_group","population"
"524","230440005060804","M_45_64",55
"525","230440005060804","M_64more",10
"526","230440005060804","F_14less",102
"527","230440005060804","F_15_24",75
"528","230440005060804","F_25_44",124
"529","230440005060804","F_45_64",67
"530","230440005060804","F_64more",23
"531","230440005060805","M_14less",85
"532","230440005060805","M_15_24",92
"533","230440005060805","M_25_44",86
"534","230440005060805","M_45_64",48
"535","230440005060805","M_64more",18
"536","230440005060805","F_14less",77
"537","230440005060805","F_15_24",57
"538","230440005060805","F_25_44",88
"539","230440005060805","F_45_64",69
"540","230440005060805","F_64more",16
"541","230440005060806","M_14less",197
"542","230440005060806","M_15_24",89
"543","230440005060806","M_25_44",190
"544","230440005060806","M_45_64",77
"545","230440005060806","M_64more",15
"546","230440005060806","F_14less",197
"547","230440005060806","F_15_24",105
"548","230440005060806","F_25_44",208
"549","230440005060806","F_45_64",60
"550","230440005060806","F_64more",12
"551","230440005060877","M_14less",75
"552","230440005060877","M_15_24",55
"553","230440005060877","M_25_44",112
"554","230440005060877","M_45_64",70
"555","230440005060877","M_64more",21
"556","230440005060877","F_14less",78
"557","230440005060877","F_15_24",70
"558","230440005060877","F_25_44",136
"559","230440005060877","F_45_64",71
"560","230440005060877","F_64more",31
"561","230440005060878","M_14less",65
"562","230440005060878","M_15_24",62
"563","230440005060878","M_25_44",88
"564","230440005060878","M_45_64",52
"565","230440005060878","M_64more",20
"566","230440005060878","F_14less",66
"567","230440005060878","F_15_24",60
"568","230440005060878","F_25_44",113
"569","230440005060878","F_45_64",62
"570","230440005060878","F_64more",28
"571","230440005060879","M_14less",60
"572","230440005060879","M_15_24",52
"573","230440005060879","M_25_44",81
"574","230440005060879","M_45_64",47
"575","230440005060879","M_64more",21
"576","230440005060879","F_14less",33
"577","230440005060879","F_15_24",38
"578","230440005060879","F_25_44",93
"579","230440005060879","F_45_64",70
"580","230440005060879","F_64more",43
"581","230440005060880","M_14less",106
"582","230440005060880","M_15_24",67
"583","230440005060880","M_25_44",129
"584","230440005060880","M_45_64",69
"585","230440005060880","M_64more",21
"586","230440005060880","F_14less",69
"587","230440005060880","F_15_24",83
"588","230440005060880","F_25_44",141
"589","230440005060880","F_45_64",92
"590","230440005060880","F_64more",28
"591","230440005060881","M_14less",110
"592","230440005060881","M_15_24",96
"593","230440005060881","M_25_44",129
"594","230440005060881","M_45_64",85
"595","230440005060881","M_64more",21
"596","230440005060881","F_14less",99
"597","230440005060881","F_15_24",96
"598","230440005060881","F_25_44",154
"599","230440005060881","F_45_64",85
"600","230440005060881","F_64more",37
"601","230440005060882","M_14less",72
"602","230440005060882","M_15_24",66
"603","230440005060882","M_25_44",93
"604","230440005060882","M_45_64",103
"605","230440005060882","M_64more",20
"606","230440005060882","F_14less",52
"607","230440005060882","F_15_24",63
"608","230440005060882","F_25_44",120
"609","230440005060882","F_45_64",104
"610","230440005060882","F_64more",33
"611","230440005060883","M_14less",62
"612","230440005060883","M_15_24",60
"613","230440005060883","M_25_44",88
"614","230440005060883","M_45_64",63
"615","230440005060883","M_64more",29
"616","230440005060883","F_14less",70
"617","230440005060883","F_15_24",69
"618","230440005060883","F_25_44",117
"619","230440005060883","F_45_64",81
"620","230440005060883","F_64more",36
"621","230440005060884","M_14less",87
"622","230440005060884","M_15_24",80
"623","230440005060884","M_25_44",121
"624","230440005060884","M_45_64",74
"625","230440005060884","M_64more",35
"626","230440005060884","F_14less",110
"627","230440005060884","F_15_24",64
"628","230440005060884","F_25_44",161
"629","230440005060884","F_45_64",87
"630","230440005060884","F_64more",37
"631","230440005060885","M_14less",156
"632","230440005060885","M_15_24",122
"633","230440005060885","M_25_44",134
"634","230440005060885","M_45_64",69
"635","230440005060885","M_64more",7
"636","230440005060885","F_14less",133
"637","230440005060885","F_15_24",117
"638","230440005060885","F_25_44",171
"639","230440005060885","F_45_64",81
"640","230440005060885","F_64more",17
"641","230440005060886","M_14less",189
"642","230440005060886","M_15_24",120
"643","230440005060886","M_25_44",202
"644","230440005060886","M_45_64",66
"645","230440005060886","M_64more",10
"646","230440005060886","F_14less",193
"647","230440005060886","F_15_24",129
"648","230440005060886","F_25_44",226
"649","230440005060886","F_45_64",63
"650","230440005060886","F_64more",16
"651","230440005060887","M_14less",133
"652","230440005060887","M_15_24",90
"653","230440005060887","M_25_44",138
"654","230440005060887","M_45_64",74
"655","230440005060887","M_64more",5
"656","230440005060887","F_14less",115
