ID,CD_GEOCODI,TIPO,CD_GEOCODB,NM_BAIRRO,CD_GEOCODS,NM_SUBDIST,CD_GEOCODD,NM_DISTRIT,CD_GEOCODM,NM_MUNICIP,NM_MICRO,NM_MESO,TIPO_NEW,CD_GEOCODB_NEW,NM_BAIRRO_NEW,CD_GEOCODS_NEW,NM_SUBDIST_NEW,CD_GEOCODD_NEW,NM_DISTRIT_NEW,CD_GEOCODM_NEW,NM_MUNICIP_NEW,NM_MICRO_NEW,NM_MESO_NEW
13764,230440060060213,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13765,230440060060214,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13766,230440060060215,URBAN,230440060048,Quintino Cunha,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400600480,Olavo Oliveira,23044006006,ANTONIO BEZERRA,230440060,ANTONIO BEZERRA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15318,230440075130248,URBAN,230440075098,Dias Macedo,23044007513,PARAPARANGABA,230440075,PARANGABA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007513,PARANGABA,230440075,PARANGABA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15324,230440075130254,URBAN,230440075095,Castelao,23044007514,PARAPARANGABA,230440076,PARANGABA,2304401,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007514,PARANGABA,230440076,PARANGABA,2304401,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15325,230440075130255,URBAN,230440075095,Castelao,23044007515,PARAPARANGABA,230440077,PARANGABA,2304402,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007515,PARANGABA,230440077,PARANGABA,2304402,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15326,230440075130256,URBAN,230440075095,Castelao,23044007516,PARAPARANGABA,230440078,PARANGABA,2304403,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007516,PARANGABA,230440078,PARANGABA,2304403,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15327,230440075130257,URBAN,230440075095,Castelao,23044007517,PARAPARANGABA,230440079,PARANGABA,2304404,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007517,PARANGABA,230440079,PARANGABA,2304404,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15328,230440075130258,URBAN,230440075102,Mata Galinha,23044007518,PARAPARANGABA,230440080,PARANGABA,2304405,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007518,PARANGABA,230440080,PARANGABA,2304405,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15329,230440075130259,URBAN,230440075102,Mata Galinha,23044007519,PARAPARANGABA,230440081,PARANGABA,2304406,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007519,PARANGABA,230440081,PARANGABA,2304406,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15330,230440075130260,URBAN,230440075102,Mata Galinha,23044007520,PARAPARANGABA,230440082,PARANGABA,2304407,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007520,PARANGABA,230440082,PARANGABA,2304407,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15331,230440075130261,URBAN,230440075102,Mata Galinha,23044007521,PARAPARANGABA,230440083,PARANGABA,2304408,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007521,PARANGABA,230440083,PARANGABA,2304408,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15448,230440075130378,URBAN,230440075095,Castelao,23044007522,PARAPARANGABA,230440084,PARANGABA,2304409,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007522,PARANGABA,230440084,PARANGABA,2304409,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15449,230440075130379,URBAN,230440075095,Castelao,23044007523,PARAPARANGABA,230440085,PARANGABA,2304410,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007523,PARANGABA,230440085,PARANGABA,2304410,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15450,230440075130380,URBAN,230440075102,Mata Galinha,23044007524,PARAPARANGABA,230440086,PARANGABA,2304411,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007524,PARANGABA,230440086,PARANGABA,2304411,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15451,230440075130381,URBAN,230440075102,Mata Galinha,23044007525,PARAPARANGABA,230440087,PARANGABA,2304412,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007525,PARANGABA,230440087,PARANGABA,2304412,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
15452,230440075130382,URBAN,230440075102,Mata Galinha,23044007526,PARAPARANGABA,230440088,PARANGABA,2304413,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400750980,Boa Vista,23044007526,PARANGABA,230440088,PARANGABA,2304413,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14155,230440065110188,URBAN,230440065050,Ancuri,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400650500,Parque Santa Maria,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14156,230440065110189,URBAN,230440065050,Ancuri,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400650500,Parque Santa Maria,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14157,230440065110190,URBAN,230440065050,Ancuri,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,2304400650500,Parque Santa Maria,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
